Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
107,Matt Costello\costema01,C,24,SAS,3,0,6.0,0.3,1.0,.333,0.0,0.0,,0.3,1.0,.333,.333,0.0,0.0,,0.3,2.0,2.3,0.0,0.0,0.7,0.3,1.7,0.7
108,DeMarcus Cousins\couside01,C,27,NOP,48,48,36.2,8.5,18.0,.470,2.2,6.1,.354,6.3,11.9,.530,.530,6.1,8.2,.746,2.2,10.7,12.9,5.4,1.6,1.6,5.0,3.8,25.2
109,Robert Covington\covinro01,PF,27,PHI,53,53,32.3,4.3,10.7,.406,2.6,7.0,.369,1.8,3.7,.477,.527,1.6,1.8,.847,0.8,4.8,5.6,1.9,1.6,0.7,1.9,3.0,12.8
110,Allen Crabbe\crabbal01,SG,25,BRK,55,48,29.5,4.3,10.8,.397,2.5,6.9,.363,1.8,3.9,.456,.513,1.4,1.7,.840,0.4,4.0,4.4,1.6,0.6,0.4,1.2,2.2,12.5
111,Torrey Craig\craigto01,SF,27,DEN,26,4,16.1,1.6,3.5,.451,0.4,1.5,.263,1.2,2.0,.585,.505,0.7,1.1,.655,1.0,2.0,3.0,0.7,0.3,0.2,0.4,1.6,4.3
112,Jamal Crawford\crawfja01,SG,37,MIN,59,0,19.0,3.7,8.8,.426,1.3,3.7,.341,2.5,5.1,.487,.497,1.3,1.5,.898,0.2,0.9,1.1,2.3,0.5,0.1,1.1,1.0,10.1
113,Jordan Crawford\crawfjo02,SG,29,NOP,2,0,18.5,3.5,7.0,.500,2.0,2.5,.800,1.5,4.5,.333,.643,0.0,0.0,,1.0,0.5,1.5,4.5,0.0,0.5,2.0,3.0,9.0
114,Jae Crowder\crowdja01,SF,27,TOT,56,47,25.6,3.1,7.3,.417,1.2,3.7,.332,1.8,3.7,.502,.500,1.6,1.9,.846,0.7,2.6,3.4,1.1,0.8,0.2,0.8,2.4,8.9
114,Jae Crowder\crowdja01,SF,27,CLE,53,47,25.4,3.0,7.1,.418,1.2,3.6,.328,1.8,3.5,.508,.500,1.5,1.7,.848,0.8,2.5,3.3,1.1,0.8,0.2,0.8,2.3,8.6
114,Jae Crowder\crowdja01,SF,27,UTA,3,0,29.0,4.7,11.3,.412,2.0,5.3,.375,2.7,6.0,.444,.500,3.3,4.0,.833,0.0,5.0,5.0,2.0,1.0,0.0,1.7,3.0,14.7
